DayOfYear,count,mean,std,min,25%,50%,75%,max
152,198.0,19.82171717171717,4.243404327316022,11.3,17.3,20.1,22.675,30.6
153,203.0,19.76009852216749,4.668128082242981,11.3,15.55,20.1,23.6,31.7
154,207.0,20.7487922705314,5.450873804569138,11.5,15.45,21.4,25.9,29.0
155,200.0,18.605999999999998,4.446902145704056,11.3,15.8,17.55,20.375,31.1
156,161.0,18.43167701863354,4.023981584827527,11.6,15.3,18.7,20.8,29.5
157,189.0,17.603174603174605,3.5728870375623907,11.3,14.0,19.0,20.6,23.5
158,175.0,18.688,4.232770892132878,11.3,14.4,20.8,22.0,28.4
159,184.0,20.104891304347827,5.175871721319259,11.3,14.45,22.0,24.8,26.8
160,205.0,20.746341463414634,5.462173737776446,11.3,15.6,21.0,25.7,29.5
161,210.0,20.766666666666666,5.440890137325269,11.3,16.424999999999997,18.95,25.925,31.3
162,202.0,16.074257425742577,3.207675913994927,11.3,13.9,15.6,17.3,28.5
163,161.0,15.97080745341615,3.6161554127199924,11.3,13.4,15.0,17.4,28.4
164,191.0,17.14607329842932,4.832311506914908,11.3,13.3,16.0,19.95,31.6
165,203.0,20.380788177339902,4.5012842358310055,12.2,17.05,20.5,23.05,31.5
166,202.0,21.403465346534652,4.1000592000685545,13.5,18.3,20.700000000000003,24.475,30.5
167,203.0,21.157142857142855,3.927799589860036,13.8,18.05,21.0,23.5,31.3
168,212.0,22.493396226415097,3.875412073926398,14.1,19.0,21.7,26.0,30.9
169,212.0,19.08490566037736,3.2910849693403614,12.3,16.575000000000003,19.0,21.525,27.0
170,172.0,16.86046511627907,3.663149160313546,11.3,13.0,17.1,19.924999999999997,24.0
171,163.0,18.17239263803681,4.267640055973895,11.4,14.55,16.9,22.200000000000003,26.0
172,182.0,15.87087912087912,2.8449583781055243,11.3,13.3,15.8,18.0,23.0
173,164.0,16.759756097560974,3.591618045609167,11.3,13.0,17.6,20.0,23.3
174,180.0,16.425,2.8775159018436596,11.3,13.8,16.7,18.625,25.1
175,188.0,19.21382978723404,4.120643246183359,11.3,15.875,19.0,22.025,28.4
176,211.0,17.446445497630332,2.8897230334602284,11.3,15.6,17.5,19.5,27.4
177,193.0,18.646632124352333,4.537804346359333,11.3,14.0,21.0,22.5,26.0
178,202.0,18.31930693069307,3.7807016531196926,11.5,15.0,17.25,21.8,25.8
179,207.0,17.928502415458937,3.7139999083426076,11.6,14.6,17.6,21.0,25.3
180,208.0,20.490865384615386,5.414032868804591,11.8,16.0,18.5,26.0,30.8
181,207.0,20.13236714975845,4.117187005155398,11.8,17.0,19.3,21.95,31.7
182,212.0,18.342924528301886,3.0938552360711995,12.6,15.649999999999999,18.45,20.625,26.5
183,212.0,20.284433962264156,4.4326442163987005,13.1,16.1,19.75,24.6,29.1
184,210.0,22.93952380952381,4.955235958914702,14.6,18.325,21.3,27.775,31.2
185,202.0,22.951980198019807,4.06571896300926,15.6,19.725,22.2,26.375,31.7
186,203.0,23.94384236453202,5.219878134344161,14.0,19.35,22.7,29.05,31.6
187,180.0,24.14,4.996273471633829,14.9,20.0,22.65,29.025,31.8
188,154.0,24.323376623376625,4.456188943081681,16.9,21.0,22.6,29.8,31.8
189,153.0,24.674509803921573,3.8900941913194673,16.7,22.0,23.6,28.0,31.7
190,179.0,24.643575418994416,3.411546909116192,17.0,21.799999999999997,24.8,27.200000000000003,31.8
191,172.0,21.96104651162791,3.75926847713809,15.5,18.7,21.8,24.424999999999997,31.8
192,209.0,20.51626794258373,4.939949338436898,12.4,16.3,19.7,24.2,31.0
193,209.0,17.339712918660286,3.659563592345246,11.4,14.0,17.0,20.0,27.2
194,203.0,16.853201970443347,3.562778853925163,11.4,13.649999999999999,17.0,20.0,24.0
195,211.0,17.75687203791469,4.273271043048552,11.4,14.2,16.4,21.0,28.0
198,212.0,19.18632075471698,2.9944421900130638,14.1,16.6,18.2,22.0,25.7
199,212.0,20.97405660377359,4.3366329521542095,15.1,17.1,18.75,26.0,28.0
200,212.0,20.78066037735849,3.3885300728672787,13.5,18.1,20.35,23.5,30.0
201,212.0,19.34858490566038,4.358436594926967,11.5,15.075,20.3,23.5,26.6
202,212.0,18.42452830188679,4.197997972872053,11.7,15.3,17.5,20.85,28.1
203,212.0,20.234905660377358,4.504785079962225,12.4,15.775,22.05,24.05,28.0
204,212.0,19.601415094339625,3.9316371271858075,11.6,16.2,18.9,23.0,28.1
205,212.0,20.75424528301887,4.406805475488204,13.4,16.7,21.95,25.0,29.1
206,212.0,21.466037735849063,5.348107461557799,12.4,16.175,21.200000000000003,26.9,29.4
207,205.0,23.77658536585366,5.668293138736522,12.9,18.3,22.3,29.4,31.8
