Neighbors,Weights,Leaf_Size,P,MSE,RMSE,MAE,MAPE,R²
5,distance,20,1,9.877700170952275,3.142880871263223,2.3955324028446663,0.1315571089476666,0.7380446581309317
5,distance,10,1,9.884821979081973,3.144013673488392,2.3964429556493045,0.1315984963346911,0.7378557886925954
5,distance,40,1,9.889874233646053,3.144817042952746,2.3970846285850276,0.13165938268697924,0.7377218035494308
5,distance,30,1,9.889874233646053,3.144817042952746,2.3970846285850276,0.13165938268697924,0.7377218035494308
5,distance,50,1,9.889874233646053,3.144817042952746,2.3970846285850276,0.13165938268697924,0.7377218035494308
5,distance,20,2,10.045960621981177,3.169536341798462,2.414165694057142,0.132363736485533,0.7335824125464849
7,distance,30,1,10.052646846881599,3.170590930233921,2.43009917668639,0.13390401913619,0.7334050947195323
7,distance,40,1,10.052646846881599,3.170590930233921,2.43009917668639,0.13390401913619,0.7334050947195323
7,distance,50,1,10.052646846881599,3.170590930233921,2.43009917668639,0.13390401913619,0.7334050947195323
7,distance,20,1,10.05302859799086,3.1706511315486696,2.4303857678308893,0.13390145942596293,0.7333949707290685
5,distance,10,2,10.053927534070311,3.170792887287076,2.4145395804682286,0.13236851603634597,0.7333711310595163
5,distance,40,2,10.054515338263508,3.1708855763435406,2.415034451867028,0.13244120544182864,0.7333555425676896
5,distance,30,2,10.054515338263508,3.1708855763435406,2.415034451867028,0.13244120544182864,0.7333555425676896
5,distance,50,2,10.054515338263508,3.1708855763435406,2.415034451867028,0.13244120544182864,0.7333555425676896
7,distance,10,1,10.056267269849373,3.1711618170395175,2.4305561053471796,0.13393097008999041,0.7333090815666911
3,distance,10,1,10.172598707468424,3.189451160853294,2.4031547671916993,0.1315064288017283,0.7302239867587687
10,distance,50,1,10.174407748553255,3.1897347457983485,2.4498461485556042,0.13545758003383798,0.7301760112211809
10,distance,30,1,10.174407748553255,3.1897347457983485,2.4498461485556042,0.13545758003383798,0.7301760112211809
10,distance,40,1,10.174407748553255,3.1897347457983485,2.4498461485556042,0.13545758003383798,0.7301760112211809
10,distance,10,1,10.182670036672038,3.1910296201495902,2.450814910571297,0.13548992451793943,0.7299568963997833
3,distance,30,1,10.183021656779843,3.191084714760773,2.4039317006971936,0.13156440921213444,0.7299475714796143
3,distance,50,1,10.183021656779843,3.191084714760773,2.4039317006971936,0.13156440921213444,0.7299475714796143
3,distance,40,1,10.183021656779843,3.191084714760773,2.4039317006971936,0.13156440921213444,0.7299475714796143
10,distance,20,1,10.183848279375239,3.1912142327608217,2.4507121479384146,0.13549343570947234,0.7299256495543862
3,distance,20,1,10.196517042293383,3.1931985597975867,2.4063992754220873,0.13171020671072517,0.7295896755863729
7,distance,50,2,10.210457196197549,3.195380602713478,2.4486161071345256,0.1345971007513095,0.7292199844924467
7,distance,30,2,10.210457196197549,3.195380602713478,2.4486161071345256,0.1345971007513095,0.7292199844924467
7,distance,40,2,10.210457196197549,3.195380602713478,2.4486161071345256,0.1345971007513095,0.7292199844924467
7,distance,10,2,10.214049838747632,3.1959427151855575,2.4492959687425224,0.13462678552803573,0.7291247080727203
7,distance,20,2,10.214395020327192,3.1959967178217177,2.449690938282035,0.13465204033869255,0.7291155539014946
