Epochs,Batch Size,Activation,Neurons,Dropout,BatchNorm,L2,Learning Rate,MSE,RMSE,MAE,MAPE,R²
50,32,relu,"(128, 64)",0.1,False,0.0,0.001,8.68687843529168,2.9473510878909015,2.252098784956542,0.12285371041695209,0.769625097855902
50,64,relu,"(128, 64)",0.0,False,0.0,0.001,8.944300557533015,2.990702351878738,2.2886071465800146,0.12388918217887342,0.7627982961845279
50,32,relu,"(64, 32)",0.0,False,0.0,0.001,8.951896749660099,2.991972050280567,2.318643444689065,0.12703906783246535,0.7625968461434136
50,64,relu,"(128, 64)",0.1,False,0.0,0.001,9.021648454512489,3.0036059086558757,2.302280508572201,0.12767604642880467,0.7607470398753219
50,64,relu,"(64, 32)",0.0,False,0.0,0.001,9.30543519990642,3.0504811423620404,2.3605307314630823,0.125672514809469,0.7532210517788022
50,32,relu,"(128, 64)",0.0,False,0.0,0.001,10.17308869360028,3.189527973478251,2.489973792639919,0.13640530794556782,0.7302109923893851
50,32,relu,"(64, 32)",0.1,False,0.0,0.001,11.124485017274807,3.3353388159638007,2.5779417142428187,0.1393734483760732,0.7049800838876231
50,64,relu,"(64, 32)",0.1,False,0.0,0.001,12.123312693936393,3.481854777835571,2.7104590461439058,0.14636810091089575,0.6784913019869929
50,64,tanh,"(64, 32)",0.1,False,0.0,0.001,37.707603877767866,6.14065174698646,4.919393894107586,0.2838918146329245,-8.194125833416166e-07
50,32,tanh,"(128, 64)",0.0,False,0.0,0.001,37.70794352519014,6.140679402573475,4.921177597465754,0.284322589589731,-9.82681866723567e-06
50,32,tanh,"(128, 64)",0.1,False,0.0,0.001,37.708061068609986,6.140688973446708,4.918257608153784,0.28360765644062197,-1.2944055088448536e-05
50,32,tanh,"(64, 32)",0.1,False,0.0,0.001,37.70829607067501,6.140708108245743,4.9217259941860805,0.2844550308555032,-1.9176279717481037e-05
50,32,tanh,"(64, 32)",0.0,False,0.0,0.001,37.71152080878118,6.140970673173841,4.915761402617959,0.28292254158853924,-0.00010469592076955969
50,64,tanh,"(128, 64)",0.1,False,0.0,0.001,37.71273111876866,6.1410692162496145,4.924953531469188,0.28523454737743276,-0.00013679318643378124
50,64,tanh,"(128, 64)",0.0,False,0.0,0.001,37.72162726810773,6.141793489536076,4.928834334759342,0.28607024792242425,-0.0003727179261101554
50,64,tanh,"(64, 32)",0.0,False,0.0,0.001,37.72174907427934,6.141803405700913,4.928877902380825,0.2860793260719014,-0.0003759482101612921
