Batch Size,Activation,Hidden Size,Num Layers,Dropout,Learning Rate,Epochs,MSE,RMSE,MAE,MAPE,R2
32,leaky_relu,256,2,0.1,0.0007,100,5.279067516326904,2.2976221439407536,1.6948847770690918,9.380525350570679,0.8599997758865356
32,leaky_relu,256,2,0.1,0.0005,100,5.322865009307861,2.3071335048730623,1.7075427770614624,9.490029513835907,0.8588383197784424
32,relu,192,2,0.1,0.0007,100,5.32978630065918,2.308632993929347,1.692729115486145,9.394463896751404,0.8586547374725342
64,leaky_relu,256,3,0.2,0.0007,100,5.366208076477051,2.3165077328765924,1.7041763067245483,9.417388588190079,0.857688844203949
32,leaky_relu,256,3,0.2,0.0005,100,5.384679794311523,2.3204912829639164,1.7129814624786377,9.454789012670517,0.85719895362854
32,relu,192,3,0.1,0.0007,100,5.397162437438965,2.323179381244368,1.7205017805099487,9.486836940050125,0.8568679094314575
64,relu,192,2,0.1,0.0007,100,5.407228469848633,2.32534480665742,1.723878264427185,9.556782990694046,0.8566009998321533
64,relu,192,2,0.2,0.0005,100,5.407358646392822,2.3253727972935483,1.7119735479354858,9.49784517288208,0.8565975427627563
64,leaky_relu,256,3,0.1,0.0005,100,5.41566276550293,2.3271576580676543,1.725626826286316,9.520556777715683,0.8563773036003113
64,leaky_relu,256,3,0.1,0.0007,100,5.417420864105225,2.3275353625896265,1.7244389057159424,9.542720019817352,0.8563306927680969
32,leaky_relu,256,3,0.1,0.0005,100,5.42216157913208,2.3285535379570037,1.7226638793945312,9.520681202411652,0.8562049865722656
64,relu,192,2,0.1,0.0005,100,5.44075870513916,2.3325433983399235,1.7261313199996948,9.562664479017258,0.8557117581367493
32,relu,256,2,0.1,0.0003,100,5.442120552062988,2.3328353032443134,1.7236698865890503,9.476536512374878,0.8556756377220154
64,leaky_relu,256,2,0.1,0.0007,100,5.457988262176514,2.3362337772955244,1.7135523557662964,9.531322866678238,0.8552548289299011
64,relu,256,2,0.1,0.0005,100,5.472329616546631,2.3393010957434766,1.7284765243530273,9.603451937437057,0.8548744916915894
32,relu,256,2,0.1,0.0007,100,5.486172676086426,2.3422580293568056,1.727006196975708,9.556947648525238,0.8545073866844177
32,relu,192,2,0.1,0.0005,100,5.486943244934082,2.342422516313844,1.7293001413345337,9.56115871667862,0.8544869422912598
64,relu,256,2,0.1,0.0007,100,5.497645378112793,2.3447058190981642,1.735113263130188,9.616770595312119,0.8542031049728394
64,relu,256,2,0.1,0.0003,100,5.500247955322266,2.3452607435682427,1.7370749711990356,9.588992595672607,0.8541341423988342
32,relu,256,2,0.2,0.0005,100,5.500835418701172,2.3453859850142305,1.7217167615890503,9.57636833190918,0.8541185855865479
