Batch Size,Activation,Hidden Size,Num Layers,Dropout,Learning Rate,Epochs,MSE,RMSE,MAE,MAPE,R2
32,leaky_relu,384,3,0.1,0.0003,100,5.27225399017334,2.296138930938923,1.6947723627090454,9.347860515117645,0.8601804971694946
64,relu,256,3,0.1,0.0005,100,5.2842116355896,2.2987413155006373,1.6984727382659912,9.366215765476227,0.8598634004592896
64,relu,384,3,0.1,0.0005,100,5.315854549407959,2.3056137034221407,1.7006664276123047,9.420523792505264,0.8590242266654968
32,relu,384,2,0.1,0.0005,100,5.318925380706787,2.30627955389341,1.701072096824646,9.426191449165344,0.8589427471160889
64,leaky_relu,256,2,0.1,0.0007,100,5.321310520172119,2.3067965927172946,1.6997781991958618,9.435726702213287,0.8588795065879822
32,relu,256,3,0.1,0.0003,100,5.329338550567627,2.308536018901942,1.7022192478179932,9.378291666507721,0.8586665987968445
32,leaky_relu,192,3,0.1,0.0007,100,5.350308418273926,2.313073370707018,1.6995664834976196,9.407306462526321,0.8581104874610901
64,leaky_relu,384,3,0.2,0.0007,100,5.365068435668945,2.3162617372976104,1.7044036388397217,9.400273114442825,0.8577190637588501
32,leaky_relu,256,3,0.2,0.0005,100,5.381733417510986,2.3198563355326525,1.7036513090133667,9.421617537736893,0.8572770953178406
32,leaky_relu,384,3,0.2,0.0005,100,5.393864631652832,2.3224695114581877,1.7087152004241943,9.440314769744873,0.8569554090499878
32,leaky_relu,256,2,0.1,0.0005,100,5.397566318511963,2.323266303830011,1.715461015701294,9.53245535492897,0.8568572402000427
32,relu,384,2,0.1,0.0007,100,5.3985161781311035,2.3234707181565906,1.7070252895355225,9.464038163423538,0.8568320274353027
32,leaky_relu,384,3,0.2,0.0007,100,5.403709888458252,2.32458811157122,1.7216203212738037,9.49670746922493,0.8566943407058716
64,relu,192,2,0.1,0.0005,100,5.405804634094238,2.3250386306670774,1.7069697380065918,9.448045492172241,0.8566387295722961
32,leaky_relu,256,2,0.2,0.0007,100,5.415731906890869,2.3271725133498093,1.7150052785873413,9.516756236553192,0.8563754558563232
64,relu,256,3,0.2,0.0005,100,5.41939640045166,2.327959707652102,1.7170121669769287,9.457213431596756,0.8562783002853394
64,leaky_relu,256,3,0.2,0.0005,100,5.4228315353393555,2.328697390246177,1.7150840759277344,9.462176263332367,0.8561872243881226
32,relu,192,3,0.1,0.0007,100,5.435710430145264,2.331461007639901,1.7306180000305176,9.586676210165024,0.8558456301689148
32,relu,256,3,0.1,0.0005,100,5.444795608520508,2.333408581564855,1.7227593660354614,9.513504803180695,0.8556047081947327
64,leaky_relu,384,2,0.2,0.0003,100,5.4464311599731445,2.333759019259089,1.7120057344436646,9.520213305950165,0.8555613160133362
64,relu,384,3,0.2,0.0005,100,5.464286804199219,2.3375814005504103,1.7262946367263794,9.513814002275467,0.8550878167152405
64,leaky_relu,256,3,0.1,0.0007,100,5.466971397399902,2.3381555545771335,1.7264646291732788,9.53475683927536,0.8550165891647339
32,relu,384,3,0.1,0.0003,100,5.471868515014648,2.3392025382626978,1.7290679216384888,9.542261064052582,0.8548867702484131
64,relu,256,2,0.1,0.0007,100,5.478302478790283,2.3405773815001893,1.729622483253479,9.575606137514114,0.8547161221504211
64,relu,384,2,0.1,0.0005,100,5.479717254638672,2.3408795899487593,1.72236967086792,9.523021429777145,0.8546785712242126
64,relu,384,2,0.2,0.0003,100,5.485167503356934,2.3420434460865436,1.7289787530899048,9.57740768790245,0.8545340299606323
32,leaky_relu,384,3,0.2,0.0003,100,5.497946739196777,2.3447700823741284,1.7277342081069946,9.54347550868988,0.8541951775550842
64,leaky_relu,384,3,0.1,0.0003,100,5.501439094543457,2.3455146758320353,1.7337372303009033,9.608496725559235,0.8541025519371033
32,leaky_relu,192,2,0.1,0.0007,100,5.509744167327881,2.347284424037249,1.7274285554885864,9.564554691314697,0.8538823127746582
64,relu,384,2,0.1,0.0007,100,5.51035737991333,2.3474150421076647,1.7356153726577759,9.602821618318558,0.8538660407066345
32,leaky_relu,384,3,0.1,0.0007,100,5.511465549468994,2.3476510706382654,1.720231533050537,9.514450281858444,0.8538366556167603
64,leaky_relu,384,2,0.1,0.0003,100,5.514334201812744,2.348261953405698,1.737771987915039,9.648503363132477,0.8537605404853821
64,leaky_relu,384,2,0.1,0.0007,100,5.517911911010742,2.349023608014773,1.7325782775878906,9.606768935918808,0.8536657094955444
64,relu,256,2,0.1,0.0005,100,5.51801872253418,2.349046343207,1.7383395433425903,9.607701003551483,0.8536628484725952
32,relu,256,2,0.2,0.0003,100,5.5185065269470215,2.3491501712208653,1.7425230741500854,9.666871279478073,0.853649914264679
32,leaky_relu,192,3,0.2,0.0007,100,5.524527549743652,2.350431353973915,1.7413225173950195,9.572817385196686,0.8534902334213257
64,leaky_relu,256,2,0.1,0.0005,100,5.524718284606934,2.3504719280618804,1.7479071617126465,9.661892056465149,0.8534851670265198
32,relu,384,3,0.2,0.0007,100,5.526510715484619,2.3508531888411532,1.7363667488098145,9.620027244091034,0.8534376621246338
64,leaky_relu,384,2,0.2,0.0005,100,5.530344486236572,2.351668447344687,1.7304600477218628,9.639404714107513,0.853335976600647
32,leaky_relu,256,2,0.1,0.0003,100,5.541722774505615,2.3540863991165693,1.738619327545166,9.657544642686844,0.8530341982841492
64,leaky_relu,256,3,0.2,0.0007,100,5.547830104827881,2.3553832182530043,1.7534910440444946,9.703347831964493,0.8528722524642944
32,relu,256,2,0.1,0.0005,100,5.566030979156494,2.359243730341673,1.7436877489089966,9.676588326692581,0.8523895740509033
64,relu,384,2,0.1,0.0003,100,5.56689453125,2.359426737843326,1.7424986362457275,9.65312197804451,0.8523666858673096
32,leaky_relu,384,2,0.1,0.0005,100,5.5670695304870605,2.3594638226696887,1.739737868309021,9.674029797315598,0.8523620367050171
64,leaky_relu,384,3,0.2,0.0005,100,5.585799217224121,2.3634295456442365,1.7486073970794678,9.651762247085571,0.851865291595459
32,relu,384,3,0.1,0.0005,100,5.592677593231201,2.364884266350301,1.7377105951309204,9.65651273727417,0.8516829013824463
64,leaky_relu,384,2,0.1,0.0005,100,5.597097396850586,2.36581854689885,1.7439343929290771,9.662645310163498,0.8515657186508179
64,relu,256,3,0.1,0.0007,100,5.601892948150635,2.3668318377423088,1.7487893104553223,9.629638493061066,0.8514385223388672
32,leaky_relu,192,3,0.1,0.0003,100,5.602513790130615,2.366962988753862,1.7634589672088623,9.733781218528748,0.8514220714569092
64,leaky_relu,256,2,0.1,0.0003,100,5.60545015335083,2.3675831882641063,1.7609233856201172,9.786846488714218,0.8513441681861877
64,leaky_relu,192,3,0.1,0.0005,100,5.606428146362305,2.367789717513425,1.7565239667892456,9.704337269067764,0.8513182401657104
32,relu,192,3,0.2,0.0005,100,5.6084303855896,2.368212487423711,1.7543420791625977,9.698572754859924,0.8512651324272156
32,leaky_relu,192,2,0.1,0.0003,100,5.6297407150268555,2.3727074651180358,1.7644449472427368,9.807808697223663,0.8507000207901001
32,leaky_relu,384,2,0.2,0.0003,100,5.630184650421143,2.3728010136589925,1.746228814125061,9.717146307229996,0.8506882190704346
32,relu,192,2,0.1,0.0003,100,5.646575450897217,2.376252396294892,1.766062617301941,9.751880168914795,0.8502535223960876
64,leaky_relu,192,3,0.2,0.0005,100,5.654095649719238,2.377834235122213,1.76470148563385,9.72658395767212,0.8500540852546692
32,relu,256,2,0.1,0.0007,100,5.654682636260986,2.377957660737673,1.7691248655319214,9.7670279443264,0.8500385284423828
