Epochs,Batch Size,Activation,Neurons,Dropout,BatchNorm,L2,Learning Rate,MSE,RMSE,MAE,MAPE,R²
400,32,tanh,"(128, 64)",0.0,False,0.0001,0.001,8.18286053495587,2.8605699667996007,2.1741546694837526,0.11986302278805083,0.7829915879401894
200,128,relu,"(128, 64)",0.1,True,0.0001,0.001,8.643930903980566,2.9400562756485744,2.2663984702568136,0.12479437419341463,0.7707640608789061
200,64,relu,"(128, 64)",0.2,True,0.0,0.001,8.947185840406757,2.991184688448167,2.3028224089360587,0.12568396058637854,0.7627217788527099
200,32,elu,"(64, 64, 32)",0.0,False,0.0001,0.0005,9.03583364522682,3.0059663413329862,2.3188089622641512,0.12687398423915675,0.7603708504366125
200,128,relu,"(64, 64)",0.1,True,0.0001,0.001,9.893430430894128,3.145382398198052,2.428230026533019,0.13035205620020784,0.73762749365444
400,32,relu,"(64, 32, 16)",0.2,True,0.0001,0.001,10.202846572843988,3.1941895017115045,2.481265150026205,0.13628630292430427,0.7294218172478367
300,32,relu,"(128, 128)",0.3,True,0.0,0.0005,10.447313566387825,3.232230432130083,2.495779284591195,0.13577552474298676,0.7229385839282223
300,32,tanh,"(128, 128)",0.2,False,0.0001,0.0005,10.748107778361259,3.2784306883570467,2.543400321016771,0.13895353119761444,0.7149615599989627
300,64,tanh,"(128, 128)",0.3,True,0.0001,0.001,10.76317720489182,3.28072815162912,2.5414521095387843,0.1391074534536412,0.7145619207397966
400,64,relu,"(64, 64, 32)",0.1,False,0.001,0.001,10.9811389652788,3.313780162484953,2.5827146390199163,0.14025568085711032,0.7087816028046096
400,128,relu,"(64, 64)",0.2,True,0.0001,0.0005,11.011824092585085,3.3184068606162636,2.5720322327044025,0.14022061268218777,0.7079678371633471
400,32,tanh,"(128, 128)",0.2,False,0.0001,0.001,11.060379635472968,3.325714905922179,2.588151451126834,0.1412972529443262,0.7066801503924691
300,64,tanh,"(64, 64, 32)",0.2,True,0.0,0.001,11.1158748436374,3.3340478166393175,2.5943428983228514,0.14260791059149586,0.7052084245883636
300,128,relu,"(128, 128)",0.3,True,0.0001,0.001,11.313679616516241,3.3635813676074853,2.613726947392558,0.14325637168139296,0.6999626673770658
200,128,relu,"(64, 64, 32)",0.0,True,0.0,0.001,11.429966492083087,3.38082334529373,2.607201994889937,0.14203774963487362,0.6968787543490534
400,64,tanh,"(64, 32, 16)",0.2,False,0.0,0.001,11.660706867721846,3.4147777186402406,2.6769842439727465,0.14498240065495657,0.6907595491760521
400,64,relu,"(64, 64, 32)",0.0,True,0.0001,0.001,11.737086299840259,3.425943125599177,2.6575838164963312,0.14477386372018683,0.6887339764307705
200,32,relu,"(128, 128)",0.1,True,0.0001,0.0001,11.747127593098446,3.427408290982918,2.6707035344601677,0.14440741586638586,0.6884676826212062
200,128,selu,"(128, 128)",0.0,True,0.0001,0.001,11.77467456489739,3.431424567857698,2.679565890330189,0.1430167441582943,0.6877371404615777
300,32,tanh,"(64, 64)",0.0,True,0.0,0.0005,11.784147509049069,3.4328046127108762,2.6794393671383645,0.14616787960556551,0.6874859191974361
200,128,tanh,"(64, 64)",0.0,True,0.0,0.0001,11.877014677739494,3.4463044957953866,2.6925637938941303,0.1467518145869341,0.6850230937925658
400,32,leaky_relu,"(128, 128)",0.0,True,0.0,0.001,11.877771477689283,3.446414292810614,2.667142254651467,0.14235468500344423,0.6850030235549454
300,32,selu,"(64, 64)",0.0,True,0.0001,0.001,11.881096340635287,3.4468966245936774,2.676719527974319,0.14431583717747393,0.6849148486159804
400,32,elu,"(64, 64, 32)",0.0,True,0.001,0.001,11.925868579536614,3.4533850899568983,2.7019637709643605,0.14630132413551614,0.6837274945816749
200,128,relu,"(64, 64, 32)",0.0,True,0.001,0.001,11.93901704208406,3.4552882719223383,2.682574398912474,0.14493297610105452,0.6833787990410067
400,128,leaky_relu,"(128, 64)",0.0,True,0.0001,0.0001,11.961558006654498,3.45854854045082,2.6805291453747375,0.1452797129389228,0.682781015551134
300,32,elu,"(64, 32, 16)",0.0,True,0.0001,0.0005,12.018806160980802,3.466814987994139,2.70355861831761,0.14623424014300349,0.6812628018396042
200,128,leaky_relu,"(128, 128)",0.0,True,0.001,0.0001,12.073823160455412,3.474740732839705,2.715852455123166,0.14792328504569247,0.6798037580686296
200,32,elu,"(128, 128)",0.3,True,0.0,0.001,12.128841106806663,3.4826485764151776,2.727258582285115,0.14680457677349015,0.6783446891866081
200,128,selu,"(128, 128)",0.2,True,0.0,0.001,12.212437940553547,3.494629871753738,2.741102021095388,0.14849107659717017,0.6761277118756612
400,64,elu,"(128, 64)",0.0,False,0.0,0.0005,12.223792039883213,3.4962540010535865,2.746697908477463,0.15016033272208734,0.6758266026174289
300,32,selu,"(128, 128)",0.0,False,0.001,0.0005,12.233330773567502,3.4976178712900445,2.760520260089099,0.14992424594035111,0.6755736366233187
200,64,leaky_relu,"(128, 128)",0.0,False,0.0,0.001,12.266161025905008,3.502307957034191,2.740551706629979,0.14575417302534963,0.6747029825413078
300,32,elu,"(128, 128)",0.2,True,0.0,0.0005,12.311753007261007,3.508810768232024,2.750091514347484,0.14987646276695257,0.673493889042224
300,128,relu,"(64, 64)",0.2,True,0.0001,0.0001,12.339478270972549,3.512759352841089,2.7635334774633122,0.1518805103624872,0.6727586186039365
300,64,selu,"(128, 128)",0.3,True,0.0,0.0005,12.36057480082322,3.5157609134898835,2.7692376670597487,0.15041433531133247,0.6721991413376054
300,64,selu,"(128, 128)",0.0,False,0.0001,0.0001,12.373591855447,3.5176116692220303,2.766227111176625,0.1493797008644557,0.6718539307182217
400,64,elu,"(64, 64, 32)",0.0,False,0.001,0.0001,12.373668081415522,3.517622504109206,2.7588136301100628,0.14856692850462194,0.6718519092153112
200,64,selu,"(64, 64, 32)",0.2,True,0.0001,0.0005,12.380260762788463,3.5185594726803275,2.7677611536949684,0.1505400079155099,0.6716770721507119
200,64,relu,"(128, 128)",0.3,False,0.0001,0.001,12.391330128155913,3.520132117997265,2.7624340769129976,0.14981525484887548,0.6713835140006446
